1,"푸들 (Poodle)","푸들은 독일에서 기원한 견종이지만, 현재 우리가 알고 있는 푸들의 모습과 특성은 프랑스에서 완성되었습니다. 초기에는 주로 물에서 사냥을 돕기 위한 수렵견으로 사용되었습니다.","푸들의 털은 곱슬곱슬하며 지속적으로 자라는 특성을 가지고 있어, 일반적인 털갈이로 인한 털빠짐이 거의 없고 푸들은 매우 활동적이고 에너지가 넘치는 견종입니다.","푸들은 새로운 명령과 트릭을 배우는 데 뛰어난 능력을 가지고 있고 푸들은 훈련에 대한 반응이 매우 좋습니다. 이들은 명령을 빠르게 배우며, 일관된 훈련을 통해 다양한 기술과 행동을 익힐 수 있습니다.","푸들은 지능 순위에서 두 번째로 높은 위치를 차지하고 있습니다. 이는 미국의 심리학자 스탠리 코렌 (Stanley Coren)의 연구에 기반한 결과입니다.","10°C ~ 25°C"
15,"보더 콜리 (Border Collie)","보더 콜리는 영국과 스코틀랜드 국경 지역에서 기원한 견종으로, 주로 양떼를 몰기 위한 목양견으로 사용되었습니다. 이들은 뛰어난 작업 능력과 높은 지능으로 유명하며, 오늘날에도 목양견과 스포츠 견으로 널리 사랑받고 있습니다.","보더 콜리는 중형견으로 털빠짐이 중간 정도이며, 매우 높은 활동력을 가지며, 중간 길이의 이중모를 가지고 있습니다. 이들의 털은 다양한 색상과 패턴을 가지며, 주기적인 빗질이 필요합니다.","보더 콜리는 똑똑하고 활발하며 훈련이 잘 되는 성격을 가지고 있습니다. 이들은 매우 에너지가 넘치며, 끊임없이 활동을 필요로 합니다. 또한 주인과의 교감을 중요시하며, 다양한 작업과 스포츠에서 뛰어난 성과를 보입니다.","보더 콜리는 지능 순위에서 1번째로 높은 위치를 차지하고 있습니다. 이는 미국의 심리학자 스탠리 코렌 (Stanley Coren)의 연구에 기반한 결과입니다.","10°C ~ 25°C"
16,"시베리안 허스키 (Siberian Husky)","시베리안 허스키는 시베리아에서 기원한 견종으로, 유목민인 추크치족이 썰매견으로 사용하던 개입니다. 20세기 초에 알래스카로 건너가면서 극지 탐험과 개썰매 경주에 널리 사용되었습니다.","시베리안 허스키는 중형견으로 털빠짐이 많고, 높은 활동력을 가지며, 두꺼운 이중모를 가지고 있습니다. 이들의 털은 추운 기후에 적합하며, 주기적인 털 손질이 필요합니다.","시베리안 허스키는 독립적이고 활발하며 장난기가 많은 성격을 가지고 있습니다. 이들은 사람과의 교감을 좋아하지만, 독립적인 성향이 강하여 주인의 명령에 항상 따르지는 않을 수 있습니다. 또한 매우 에너지가 넘치며, 운동이 충분히 필요합니다.","시베리안 허스키는 지능 순위에서 45번째로 높은 위치를 차지하고 있습니다. 이는 미국의 심리학자 스탠리 코렌 (Stanley Coren)의 연구에 기반한 결과입니다.","-20°C ~ 10°C"
17,"셰퍼드 (German Shepherd)","셰퍼드는 독일에서 기원한 견종으로, 19세기 말에 목양견으로 개발되었습니다. 이후 경찰견, 군용견, 구조견 등 다양한 분야에서 활약하며 세계적으로 널리 사랑받는 견종이 되었습니다.","셰퍼드는 대형견으로 털빠짐이 많고, 높은 활동력을 가지며, 중간 길이의 이중모를 가지고 있습니다. 이들의 털은 주기적인 빗질과 손질이 필요합니다.","셰퍼드는 똑똑하고 충성심이 강하며 용감한 성격을 가지고 있습니다. 이들은 매우 훈련이 잘 되며, 주인과의 교감을 중요시합니다. 또한 보호 본능이 강하고, 가족을 지키려는 성향이 강합니다. 다양한 작업과 스포츠에서 뛰어난 능력을 발휘합니다.","셰퍼드는 지능 순위에서 3번째로 높은 위치를 차지하고 있습니다. 이는 미국의 심리학자 스탠리 코렌 (Stanley Coren)의 연구에 기반한 결과입니다.","10°C ~ 25°C"
18,"웰시 코기 (Welsh Corgi)","웰시 코기는 영국 웨일스 지방에서 기원한 견종으로, 두 가지 종류인 펨브록 웰시 코기와 카디건 웰시 코기가 있습니다. 원래는 목양견으로 사용되었으며, 소를 몰고 가는 데 뛰어난 능력을 발휘했습니다.","웰시 코기는 중형견으로 털빠짐이 중간 정도이며, 높은 활동력을 가지고 있습니다. 이들은 짧은 다리와 긴 몸통이 특징이며, 다양한 색상과 패턴을 가지고 있습니다.","웰시 코기는 친근하고 온순하며 활발한 성격을 가지고 있습니다. 이들은 가족과의 유대감이 강하며, 아이들과도 잘 어울립니다. 또한 매우 영리하고 훈련이 잘 되며, 주인과의 교감을 중요시합니다.","웰시 코기는 지능 순위에서 11번째로 높은 위치를 차지하고 있습니다. 이는 미국의 심리학자 스탠리 코렌 (Stanley Coren)의 연구에 기반한 결과입니다.","10°C ~ 25°C"
19,"슈나우저 (Schnauzer)","슈나우저는 독일에서 기원한 견종으로, 원래는 농장에서 일하는 다목적 견종으로 사용되었습니다. 슈나우저는 크기에 따라 미니어처, 스탠다드, 자이언트 세 가지 종류로 나뉩니다.","슈나우저는 크기에 따라 털빠짐이 적고, 높은 활동력을 가지고 있습니다. 이들은 강하고 거친 이중모를 가지고 있으며, 주기적인 털 손질이 필요합니다. 특히 눈썹과 턱수염이 특징입니다.","슈나우저는 똑똑하고 충성심이 강하며 활발한 성격을 가지고 있습니다. 이들은 가족과의 유대감이 강하며, 보호 본능이 강해 훌륭한 경비견이 되기도 합니다. 또한 매우 영리하고 훈련이 잘 되며, 다양한 활동과 스포츠에서 뛰어난 능력을 발휘합니다.","슈나우저는 지능 순위에서 12번째로 높은 위치를 차지하고 있습니다. 이는 미국의 심리학자 스탠리 코렌 (Stanley Coren)의 연구에 기반한 결과입니다.","10°C ~ 25°C"
20,"퍼그 (Pug)","퍼그는 중국에서 기원한 견종으로, 고대 중국 황실에서 귀하게 여겨졌습니다. 이후 16세기에 네덜란드 상인들에 의해 유럽으로 전해져 널리 사랑받게 되었습니다.","퍼그는 소형견으로 털빠짐이 많고, 중간 정도의 활동력을 가지고 있습니다. 이들은 짧고 주름진 얼굴과 단단한 체격을 가지고 있으며, 짧은 털이 특징입니다. 주기적인 털 손질이 필요합니다.","퍼그는 친근하고 온순하며 장난기 많은 성격을 가지고 있습니다. 이들은 가족과의 유대감이 강하고, 아이들과도 잘 어울립니다. 또한 매우 사교적이며, 다른 동물들과도 잘 지내는 경향이 있습니다. 퍼그는 매우 고집이 셀 수 있지만, 훈련이 잘 되기도 합니다.","퍼그는 지능 순위에서 57번째로 높은 위치를 차지하고 있습니다. 이는 미국의 심리학자 스탠리 코렌 (Stanley Coren)의 연구에 기반한 결과입니다.","15°C ~ 25°C"
21,"비글 (Beagle)","비글은 영국에서 기원한 견종으로, 주로 사냥과 추적에 사용되었습니다. 이들은 특히 토끼 사냥에 뛰어난 능력을 발휘하며, 오늘날에도 많은 사람들이 사냥견으로 기르고 있습니다.","비글은 중형견으로 털빠짐이 중간 정도이며, 높은 활동력을 가지고 있습니다. 이들은 짧고 단단한 털을 가지고 있으며, 다양한 색상과 패턴이 있습니다. 주기적인 털 손질이 필요합니다.","비글은 활발하고 친근하며 호기심이 많은 성격을 가지고 있습니다. 이들은 매우 사교적이고, 가족과 잘 지내며, 아이들과도 좋은 관계를 맺습니다. 또한 매우 영리하고 훈련이 잘 되지만, 독립적인 성향이 강해 때로는 고집이 셀 수 있습니다.","비글은 지능 순위에서 72번째로 높은 위치를 차지하고 있습니다. 이는 미국의 심리학자 스탠리 코렌 (Stanley Coren)의 연구에 기반한 결과입니다.","10°C ~ 25°C"
22,"프렌치 불독 (French Bulldog)","프렌치 불독은 19세기 중반 프랑스에서 작은 불독과 지역의 작은 테리어들을 교배하여 개발된 견종입니다. 이들은 귀여운 외모와 독특한 성격으로 많은 사람들에게 사랑받고 있습니다.","프렌치 불독은 소형견으로 털빠짐이 적고, 중간 정도의 활동력을 가지고 있습니다. 이들은 짧고 매끄러운 털과 독특한 박쥐 같은 귀를 가지고 있으며, 주름진 얼굴이 특징입니다.","프렌치 불독은 친근하고 온순하며 장난기 많은 성격을 가지고 있습니다. 이들은 가족과의 유대감이 강하고, 아이들과도 잘 어울립니다. 또한 매우 사교적이며, 다른 동물들과도 잘 지내는 경향이 있습니다. 프렌치 불독은 매우 영리하고 훈련이 잘 되지만, 고집이 셀 수 있습니다.","프렌치 불독은 지능 순위에서 109번째로 높은 위치를 차지하고 있습니다. 이는 미국의 심리학자 스탠리 코렌 (Stanley Coren)의 연구에 기반한 결과입니다.","15°C ~ 25°C"
23,"페키니즈 (Pekingese)","페키니즈는 중국에서 기원한 견종으로, 고대 중국 황실에서 신성한 동물로 여겨졌습니다. 이들은 황실의 귀족들만이 기를 수 있었으며, 중국의 역사와 문화에 깊이 뿌리박혀 있습니다.","페키니즈는 소형견으로 털빠짐이 많고, 낮은 활동력을 가지고 있습니다. 이들은 길고 풍성한 이중모를 가지고 있으며, 주기적인 털 손질이 필요합니다. 또한 짧은 다리와 넓은 가슴, 납작한 얼굴이 특징입니다.","페키니즈는 독립적이고 고집이 센 성격을 가지고 있습니다. 이들은 주인에게 깊은 애정을 보이며, 보호 본능이 강합니다. 또한 매우 용감하고 자신감이 넘치며, 낯선 사람에게는 경계심을 보일 수 있습니다. 그러나 가족과 함께 있을 때는 애정이 많고 온순합니다.","페키니즈는 지능 순위에서 73번째로 높은 위치를 차지하고 있습니다. 이는 미국의 심리학자 스탠리 코렌 (Stanley Coren)의 연구에 기반한 결과입니다.","15°C ~ 25°C"
24,"로트와일러 (Rottweiler)","로트와일러는 독일에서 기원한 견종으로, 원래는 소를 몰고 다니며 농장에서 일하는 다목적 견종으로 사용되었습니다. 로마 제국 시대에 처음 개발되었으며, 이후 독일의 로트바일이라는 도시에서 현대적인 형태로 발전했습니다.","로트와일러는 대형견으로 털빠짐이 중간 정도이며, 높은 활동력을 가지고 있습니다. 이들은 짧고 밀도 있는 이중모를 가지고 있으며, 주기적인 털 손질이 필요합니다. 강력한 체격과 근육질의 몸매가 특징입니다.","로트와일러는 용감하고 충성심이 강하며 보호 본능이 강한 성격을 가지고 있습니다. 이들은 가족과의 유대감이 강하고, 주인을 지키기 위해 모든 노력을 다합니다. 또한 매우 영리하고 훈련이 잘 되며, 다양한 작업과 스포츠에서 뛰어난 능력을 발휘합니다.","로트와일러는 지능 순위에서 9번째로 높은 위치를 차지하고 있습니다. 이는 미국의 심리학자 스탠리 코렌 (Stanley Coren)의 연구에 기반한 결과입니다.","10°C ~ 25°C"
25,"달마시안 (Dalmatian)","달마시안은 크로아티아의 달마티아 지역에서 기원한 견종으로, 다양한 용도로 사용되어 왔습니다. 이들은 원래 사냥견으로 길러졌으나, 후에는 마차를 호위하는 마차견, 소방견 등으로도 사용되었습니다.","달마시안은 중형견으로 털빠짐이 많고, 높은 활동력을 가지고 있습니다. 이들의 털은 짧고 매끄러우며, 독특한 흰 바탕에 검은 점 무늬가 특징입니다. 정기적인 빗질이 필요합니다.","달마시안은 활발하고 장난기 많으며 충성심이 강한 성격을 가지고 있습니다. 이들은 에너지가 넘치며, 충분한 운동과 활동이 필요합니다. 또한 가족과의 유대감이 강하고, 다른 동물들과도 잘 어울립니다. 그러나 때로는 고집이 셀 수 있어 일관된 훈련이 필요합니다.","달마시안은 지능 순위에서 62번째로 높은 위치를 차지하고 있습니다. 이는 미국의 심리학자 스탠리 코렌 (Stanley Coren)의 연구에 기반한 결과입니다.","10°C ~ 25°C"
26,"도베르만 (Doberman)","도베르만은 독일에서 기원한 견종으로, 19세기 후반에 세무사였던 루이스 도베르만에 의해 개발되었습니다. 이 견종은 주로 경비견, 경찰견, 군용견으로 사용되며, 뛰어난 지능과 민첩성으로 유명합니다.","도베르만은 대형견으로 털빠짐이 적고, 높은 활동력을 가지고 있습니다. 이들은 짧고 밀도 있는 털을 가지고 있으며, 주기적인 털 손질이 필요합니다. 강력한 체격과 근육질의 몸매가 특징입니다.","도베르만은 똑똑하고 용감하며 충성심이 강한 성격을 가지고 있습니다. 이들은 매우 영리하고 훈련이 잘 되며, 주인과의 교감을 중요시합니다. 또한 보호 본능이 강해 훌륭한 경비견이 되며, 가족을 지키기 위해 모든 노력을 다합니다.","도베르만은 지능 순위에서 5번째로 높은 위치를 차지하고 있습니다. 이는 미국의 심리학자 스탠리 코렌 (Stanley Coren)의 연구에 기반한 결과입니다.","10°C ~ 25°C"
27,"아키타 (Akita)","아키타는 일본에서 기원한 견종으로, 일본 북부의 아키타 현에서 유래되었습니다. 아키타는 일본의 전통적인 사냥견으로, 곰, 멧돼지, 사슴 등을 사냥하는 데 사용되었습니다. 일본에서는 충성심의 상징으로 여겨지며, 오늘날에도 많은 사랑을 받고 있습니다.","아키타는 대형견으로 털빠짐이 많고, 중간 정도의 활동력을 가지고 있습니다. 이들은 두꺼운 이중모를 가지고 있으며, 주기적인 털 손질이 필요합니다. 강력한 체격과 당당한 모습이 특징입니다.","아키타는 독립적이고 충성심이 강하며 보호 본능이 강한 성격을 가지고 있습니다. 이들은 주인에게 깊은 애정을 보이며, 가족을 보호하려는 성향이 강합니다. 또한 매우 용감하고 자신감이 넘치며, 낯선 사람에게는 경계심을 보일 수 있습니다. 그러나 가족과 함께 있을 때는 애정이 많고 온순합니다.","아키타는 지능 순위에서 54번째로 높은 위치를 차지하고 있습니다. 이는 미국의 심리학자 스탠리 코렌 (Stanley Coren)의 연구에 기반한 결과입니다.","0°C ~ 20°C"
28,"그레이하운드 (Greyhound)","그레이하운드는 고대 이집트에서 기원한 견종으로, 세계에서 가장 빠른 견종 중 하나로 알려져 있습니다. 이들은 주로 사냥과 경주에 사용되었으며, 오늘날에도 경주견으로 많이 활용됩니다.","그레이하운드는 대형견으로 털빠짐이 적고, 매우 높은 활동력을 가지고 있습니다. 이들은 짧고 매끄러운 털을 가지고 있으며, 슬림하고 근육질의 체격을 자랑합니다. 주기적인 운동과 활동이 필요합니다.","그레이하운드는 온순하고 독립적이며 활동적인 성격을 가지고 있습니다. 이들은 사람과의 교감을 좋아하지만, 독립적인 성향이 강하여 혼자 있는 시간을 즐기기도 합니다. 또한 매우 민첩하고 빠르며, 운동이 충분히 필요합니다.","그레이하운드는 지능 순위에서 86번째로 높은 위치를 차지하고 있습니다. 이는 미국의 심리학자 스탠리 코렌 (Stanley Coren)의 연구에 기반한 결과입니다.","15°C ~ 25°C"
29,"차우차우 (Chow Chow)","차우차우는 중국에서 기원한 견종으로, 고대부터 사냥견, 경비견, 썰매견으로 사용되었습니다. 이들은 중국 황실에서 귀하게 여겨졌으며, 독특한 외모와 고유의 성격으로 널리 알려져 있습니다.","차우차우는 중형견으로 털빠짐이 많고, 중간 정도의 활동력을 가지고 있습니다. 이들은 두꺼운 이중모를 가지고 있으며, 특히 목 주위의 갈기 같은 털이 특징입니다. 주기적인 털 손질이 필요합니다.","차우차우는 독립적이고 충성심이 강하며 보호 본능이 강한 성격을 가지고 있습니다. 이들은 주인에게 깊은 애정을 보이며, 가족을 보호하려는 성향이 강합니다. 또한 매우 용감하고 자신감이 넘치며, 낯선 사람에게는 경계심을 보일 수 있습니다. 그러나 가족과 함께 있을 때는 애정이 많고 온순합니다.","차우차우는 지능 순위에서 76번째로 높은 위치를 차지하고 있습니다. 이는 미국의 심리학자 스탠리 코렌 (Stanley Coren)의 연구에 기반한 결과입니다.","0°C ~ 20°C"
